timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1649928457275,2369,Login/v3/firefox/global-recs-112,200,OK,Invalid Login 3-1,text,true,,10125,435,3,11,https://getpocket.cdn.mozilla.net/v3/firefox/global-recs?version=3&consumer_key=40249-e88c401e1b1f2242d9e441c4&locale_lang=en-US&region=IN&count=30,2364,0,2211
1649928457536,2109,Login/v3/firefox/global-recs-112,200,OK,Invalid Login 3-2,text,true,,10125,435,3,11,https://getpocket.cdn.mozilla.net/v3/firefox/global-recs?version=3&consumer_key=40249-e88c401e1b1f2242d9e441c4&locale_lang=en-US&region=IN&count=30,2104,0,1951
1649928457867,1778,Login/v3/firefox/global-recs-112,200,OK,Invalid Login 3-3,text,true,,10125,435,3,11,https://getpocket.cdn.mozilla.net/v3/firefox/global-recs?version=3&consumer_key=40249-e88c401e1b1f2242d9e441c4&locale_lang=en-US&region=IN&count=30,1773,0,1620
1649928457528,2410,Registration/signup-77,200,OK,Registration Scenario 1-2,text,true,,449,478,3,11,https://api.demoblaze.com/signup,2410,0,1982
1649928457275,2666,Login/login-79,200,OK,Login Scenario 2-1,text,true,,449,477,3,11,https://api.demoblaze.com/login,2666,0,2352
1649928457275,2667,Registration/signup-77,200,OK,Registration Scenario 1-1,text,true,,449,478,3,11,https://api.demoblaze.com/signup,2667,0,2353
1649928457867,2077,Login/login-79,200,OK,Login Scenario 2-3,text,true,,449,477,3,11,https://api.demoblaze.com/login,2077,0,1643
1649928457541,2404,Login/login-79,200,OK,Login Scenario 2-2,text,true,,449,477,3,11,https://api.demoblaze.com/login,2404,0,2089
1649928457860,2091,Registration/signup-77,200,OK,Registration Scenario 1-3,text,true,,449,478,3,11,https://api.demoblaze.com/signup,2091,0,1769
1649928457275,2676,Step5/node_modules/tether/dist/js/tether.min.js-319,200,OK,Contanct Information 5-1,text,true,,9056,433,1,11,https://www.demoblaze.com/node_modules/tether/dist/js/tether.min.js,2664,0,2352
1649928457275,2990,Step4/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js-120,200,OK,Update the Contact Info 4-1,text,true,,72692,436,1,11,https://www.demoblaze.com/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js,2664,0,2353
1649928459953,347,Step5/imgs/front.jpg-320,200,OK,Contanct Information 5-1,bin,true,,24949,427,1,11,https://www.demoblaze.com/imgs/front.jpg,311,0,0
1649928459650,695,InvalidLogin/Invalidlogin-113,200,OK,Invalid Login 3-2,text,true,,449,477,3,11,https://api.demoblaze.com/login,695,0,402
1649928459650,695,InvalidLogin/Invalidlogin-113,200,OK,Invalid Login 3-1,text,true,,449,477,3,11,https://api.demoblaze.com/login,695,0,406
1649928459650,695,InvalidLogin/Invalidlogin-113,200,OK,Invalid Login 3-3,text,true,,449,477,3,11,https://api.demoblaze.com/login,695,0,406
1649928460302,103,Step5/index.html-321,200,OK,Contanct Information 5-1,text,true,,4948,536,1,11,https://www.demoblaze.com/index.html,81,0,0
1649928460250,376,Registration/signup-78,200,OK,Registration Scenario 1-1,text,true,,603,499,3,11,https://api.demoblaze.com/signup,376,0,0
1649928460250,377,Registration/signup-78,200,OK,Registration Scenario 1-2,text,true,,481,501,3,11,https://api.demoblaze.com/signup,377,0,0
1649928460264,364,Registration/signup-78,200,OK,Registration Scenario 1-3,text,true,,615,501,3,11,https://api.demoblaze.com/signup,364,0,0
1649928460267,369,Step4/node_modules/jquery/dist/jquery.min.js-119,200,OK,Update the Contact Info 4-1,text,true,,36284,410,1,8,https://www.demoblaze.com/node_modules/jquery/dist/jquery.min.js,293,0,0
1649928460250,393,Login/login-80,200,OK,Login Scenario 2-3,text,true,,664,498,3,8,https://api.demoblaze.com/login,393,0,0
1649928460250,400,Login/login-80,200,OK,Login Scenario 2-1,text,true,,624,500,2,7,https://api.demoblaze.com/login,393,0,0
1649928460407,372,Step5/canonical.html-324,200,OK,Contanct Information 5-1,text,true,,302,301,1,6,http://detectportal.firefox.com/canonical.html,372,0,236
