timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1649941634410,575,Step4/view-135,200,OK,Purchase and to delete from cart 4-1,text,true,,694,452,2,12,https://api.demoblaze.com/view,573,0,304
1649941634985,278,Step4/check-136,200,OK,Purchase and to delete from cart 4-1,text,true,,592,471,2,16,https://api.demoblaze.com/check,275,0,0
1649941634909,408,Step4/view-135,200,OK,Purchase and to delete from cart 4-2,text,true,,813,452,2,17,https://api.demoblaze.com/view,408,0,135
1649941635263,312,Step4/addtocart-139,200,OK,Purchase and to delete from cart 4-1,text,true,,307,544,2,15,https://api.demoblaze.com/addtocart,312,0,0
1649941635318,356,Step4/check-136,200,OK,Purchase and to delete from cart 4-2,text,true,,593,471,2,14,https://api.demoblaze.com/check,354,0,0
1649941635575,306,Step4/addtocart-141,200,OK,Purchase and to delete from cart 4-1,text,true,,307,544,2,11,https://api.demoblaze.com/addtocart,306,0,0
1649941635675,295,Step4/addtocart-139,200,OK,Purchase and to delete from cart 4-2,text,true,,307,544,2,10,https://api.demoblaze.com/addtocart,295,0,0
1649941635881,274,Step4/check-145,200,OK,Purchase and to delete from cart 4-1,text,true,,497,471,2,8,https://api.demoblaze.com/check,274,0,0
1649941635971,300,Step4/addtocart-141,200,OK,Purchase and to delete from cart 4-2,text,true,,307,544,2,7,https://api.demoblaze.com/addtocart,300,0,0
1649941636156,265,Step4/check-163,200,OK,Purchase and to delete from cart 4-1,text,true,,528,471,2,6,https://api.demoblaze.com/check,264,0,0
1649941636272,270,Step4/check-145,200,OK,Purchase and to delete from cart 4-2,text,true,,707,471,2,6,https://api.demoblaze.com/check,268,0,0
1649941636422,288,Step4/view-164,200,OK,Purchase and to delete from cart 4-1,text,true,,637,452,2,6,https://api.demoblaze.com/view,288,0,0
1649941636543,293,Step4/check-163,200,OK,Purchase and to delete from cart 4-2,text,true,,716,471,2,6,https://api.demoblaze.com/check,292,0,0
1649941636710,303,Step4/addtocart-167,200,OK,Purchase and to delete from cart 4-1,text,true,,307,544,2,6,https://api.demoblaze.com/addtocart,303,0,0
1649941636837,269,Step4/view-164,200,OK,Purchase and to delete from cart 4-2,text,true,,772,452,2,7,https://api.demoblaze.com/view,268,0,0
1649941637013,275,Step4/check-171,200,OK,Purchase and to delete from cart 4-1,text,true,,632,471,2,7,https://api.demoblaze.com/check,275,0,0
1649941637107,286,Step4/addtocart-167,200,OK,Purchase and to delete from cart 4-2,text,true,,307,544,2,6,https://api.demoblaze.com/addtocart,286,0,0
1649941637289,299,Step4/bycat-173,200,OK,Purchase and to delete from cart 4-1,text,true,,1472,461,2,7,https://api.demoblaze.com/bycat,299,0,0
1649941637394,268,Step4/check-171,200,OK,Purchase and to delete from cart 4-2,text,true,,676,471,2,7,https://api.demoblaze.com/check,266,0,0
1649941637588,272,Step4/check-191,200,OK,Purchase and to delete from cart 4-1,text,true,,497,471,2,7,https://api.demoblaze.com/check,271,0,0
1649941637663,287,Step4/bycat-173,200,OK,Purchase and to delete from cart 4-2,text,true,,1594,461,2,6,https://api.demoblaze.com/bycat,283,0,0
1649941637861,269,Step4/view-192,200,OK,Purchase and to delete from cart 4-1,text,true,,829,452,2,6,https://api.demoblaze.com/view,267,0,0
1649941637951,270,Step4/check-191,200,OK,Purchase and to delete from cart 4-2,text,true,,493,471,2,6,https://api.demoblaze.com/check,270,0,0
1649941638130,296,Step4/addtocart-195,200,OK,Purchase and to delete from cart 4-1,text,true,,307,544,2,6,https://api.demoblaze.com/addtocart,296,0,0
1649941638222,272,Step4/view-192,200,OK,Purchase and to delete from cart 4-2,text,true,,827,452,2,6,https://api.demoblaze.com/view,271,0,0
1649941638426,278,Step4/check-199,200,OK,Purchase and to delete from cart 4-1,text,true,,499,471,2,4,https://api.demoblaze.com/check,275,0,0
1649941638495,285,Step4/addtocart-195,200,OK,Purchase and to delete from cart 4-2,text,true,,307,544,2,5,https://api.demoblaze.com/addtocart,285,0,0
1649941638705,304,Step4/bycat-201,200,OK,Purchase and to delete from cart 4-1,text,true,,870,460,2,5,https://api.demoblaze.com/bycat,304,0,0
1649941638781,268,Step4/check-199,200,OK,Purchase and to delete from cart 4-2,text,true,,604,471,2,4,https://api.demoblaze.com/check,266,0,0
1649941639009,269,Step4/check-225,200,OK,Purchase and to delete from cart 4-1,text,true,,601,471,2,5,https://api.demoblaze.com/check,268,0,0
1649941639050,285,Step4/bycat-201,200,OK,Purchase and to delete from cart 4-2,text,true,,988,460,2,5,https://api.demoblaze.com/bycat,283,0,0
1649941639279,269,Step4/view-226,200,OK,Purchase and to delete from cart 4-1,text,true,,726,453,2,4,https://api.demoblaze.com/view,266,0,0
1649941639335,269,Step4/check-225,200,OK,Purchase and to delete from cart 4-2,text,true,,555,471,2,4,https://api.demoblaze.com/check,268,0,0
1649941639549,300,Step4/addtocart-229,200,OK,Purchase and to delete from cart 4-1,text,true,,307,545,2,3,https://api.demoblaze.com/addtocart,300,0,0
