timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1649941876936,192,Step5/node_modules/tether/dist/js/tether.min.js-319,200,OK,Contanct Information 5-1,text,true,,9572,433,1,8,https://www.demoblaze.com/node_modules/tether/dist/js/tether.min.js,185,0,132
1649941877128,270,Step5/imgs/front.jpg-320,200,OK,Contanct Information 5-1,bin,true,,24949,427,1,12,https://www.demoblaze.com/imgs/front.jpg,249,0,0
1649941877398,266,Step5/index.html-321,200,OK,Contanct Information 5-1,text,true,,19902,536,1,17,https://www.demoblaze.com/index.html,251,0,0
1649941877664,126,Step5/canonical.html-324,200,OK,Contanct Information 5-1,text,true,,302,301,1,19,http://detectportal.firefox.com/canonical.html,126,0,101
1649941877790,269,Step5/node_modules/bootstrap/dist/css/bootstrap.min.css-322,200,OK,Contanct Information 5-1,text,true,,28420,455,1,22,https://www.demoblaze.com/node_modules/bootstrap/dist/css/bootstrap.min.css,251,0,0
1649941878059,15,Step5/success.txt-329,200,OK,Contanct Information 5-1,text,true,,220,303,1,22,http://detectportal.firefox.com/success.txt?ipv4,15,0,0
1649941878074,14,Step5/success.txt-330,200,OK,Contanct Information 5-1,text,true,,220,303,1,22,http://detectportal.firefox.com/success.txt?ipv6,14,0,0
1649941878088,74,Step5/node_modules/jquery/dist/jquery.min.js-325,200,OK,Contanct Information 5-1,text,true,,35997,430,1,23,https://www.demoblaze.com/node_modules/jquery/dist/jquery.min.js,55,0,0
1649941878162,125,Step5/node_modules/video.js/dist/video.min.js-326,200,OK,Contanct Information 5-1,text,true,,160500,431,1,19,https://www.demoblaze.com/node_modules/video.js/dist/video.min.js,51,0,0
1649941878287,264,Step5/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js-323,200,OK,Contanct Information 5-1,text,true,,72828,456,1,16,https://www.demoblaze.com/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js,248,0,0
1649941878551,52,Step5/js/index.js-327,200,OK,Contanct Information 5-1,text,true,,2928,403,1,16,https://www.demoblaze.com/js/index.js,52,0,0
1649941878603,251,Step5/node_modules/video.js/dist/video-js.min.css-328,200,OK,Contanct Information 5-1,text,true,,40312,449,1,15,https://www.demoblaze.com/node_modules/video.js/dist/video-js.min.css,245,0,0
1649941878854,51,Step5/css/latofonts.css-331,200,OK,Contanct Information 5-1,text,true,,1292,423,1,15,https://www.demoblaze.com/css/latofonts.css,51,0,0
1649941878905,250,Step5/css/latostyle.css-332,200,OK,Contanct Information 5-1,text,true,,964,423,1,16,https://www.demoblaze.com/css/latostyle.css,250,0,0
1649941879155,262,Step5/node_modules/bootstrap/dist/js/bootstrap.min.js-333,200,OK,Contanct Information 5-1,text,true,,15655,439,1,17,https://www.demoblaze.com/node_modules/bootstrap/dist/js/bootstrap.min.js,258,0,0
